date,site_reference,site_description,region_name,heavy_count,light_count,total_count,congestion_index,iso_week,pack_week,season_phase
2021-04-01,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,1962.5,14285.5,16248.0,100.0,13,13,KiwiStart
2021-04-01,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,2252.5,24156.5,26409.0,100.0,13,13,KiwiStart
2021-04-01,00200166,KAIRUA - Telemetry Site 120 - (WIM Site),04 - Bay of Plenty,5026.0,38795.0,43821.0,100.0,13,13,KiwiStart
2021-04-01,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,1448.5,8389.5,9838.0,100.0,13,13,KiwiStart
2021-04-01,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,1189.5,14125.5,15315.0,100.0,13,13,KiwiStart
2021-04-01,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2432.0,25012.0,27444.0,100.0,13,13,KiwiStart
2021-04-01,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,1167.0,6888.0,8055.0,100.0,13,13,KiwiStart
2021-04-01,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2306.0,23780.0,26086.0,100.0,13,13,KiwiStart
2021-04-01,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,1061.0,5755.0,6816.0,100.0,13,13,KiwiStart
2021-04-02,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,845.0,10463.0,11308.0,100.0,13,13,KiwiStart
2021-04-02,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,839.5,15610.5,16450.0,100.0,13,13,KiwiStart
2021-04-02,00200166,KAIRUA - Telemetry Site 120 - (WIM Site),04 - Bay of Plenty,1865.0,26400.0,28265.0,100.0,13,13,KiwiStart
2021-04-02,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,765.0,7326.0,8091.0,100.0,13,13,KiwiStart
2021-04-02,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,571.0,8429.0,9000.0,100.0,13,13,KiwiStart
2021-04-02,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,753.0,13691.0,14444.0,100.0,13,13,KiwiStart
2021-04-02,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,657.0,6616.0,7273.0,97.58,13,13,KiwiStart
2021-04-02,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,736.5,12504.5,13241.0,100.0,13,13,KiwiStart
2021-04-02,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,398.5,4277.5,4676.0,62.19,13,13,KiwiStart
2021-04-03,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,832.0,12334.0,13166.0,100.0,13,13,KiwiStart
2021-04-03,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,830.0,20059.0,20889.0,100.0,13,13,KiwiStart
2021-04-03,00200166,KAIRUA - Telemetry Site 120 - (WIM Site),04 - Bay of Plenty,1649.0,31331.0,32980.0,100.0,13,13,KiwiStart
2021-04-03,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,580.0,7118.0,7698.0,100.0,13,13,KiwiStart
2021-04-03,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,476.0,10043.0,10519.0,100.0,13,13,KiwiStart
2021-04-03,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,837.5,18550.5,19388.0,100.0,13,13,KiwiStart
2021-04-03,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,388.5,5774.5,6163.0,78.86,13,13,KiwiStart
2021-04-03,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,813.0,17874.0,18687.0,100.0,13,13,KiwiStart
2021-04-03,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,405.0,5443.0,5848.0,75.66,13,13,KiwiStart
2021-04-04,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,656.5,12257.5,12914.0,100.0,13,13,KiwiStart
2021-04-04,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,675.5,18170.5,18846.0,100.0,13,13,KiwiStart
2021-04-04,00200166,KAIRUA - Telemetry Site 120 - (WIM Site),04 - Bay of Plenty,1282.0,27238.0,28520.0,100.0,13,13,KiwiStart
2021-04-04,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,455.0,6598.0,7053.0,90.49,13,13,KiwiStart
2021-04-04,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,450.5,8191.5,8642.0,100.0,13,13,KiwiStart
2021-04-04,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,534.5,14206.5,14741.0,100.0,13,13,KiwiStart
2021-04-04,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,280.0,4723.0,5003.0,63.22,13,13,KiwiStart
2021-04-04,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,553.5,14921.5,15475.0,100.0,13,13,KiwiStart
2021-04-04,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,374.5,5519.5,5894.0,75.49,13,13,KiwiStart
2021-04-05,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,854.0,11714.0,12568.0,100.0,14,14,MainPack
2021-04-05,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,879.0,17670.0,18549.0,100.0,14,14,MainPack
2021-04-05,00200166,KAIRUA - Telemetry Site 120 - (WIM Site),04 - Bay of Plenty,1630.0,26955.0,28585.0,100.0,14,14,MainPack
2021-04-05,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,701.5,7268.5,7970.0,100.0,14,14,MainPack
2021-04-05,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,641.0,8908.0,9549.0,100.0,14,14,MainPack
2021-04-05,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,641.0,13548.0,14189.0,100.0,14,14,MainPack
2021-04-05,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,357.5,4363.5,4721.0,61.77,14,14,MainPack
2021-04-05,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,682.0,15125.0,15807.0,100.0,14,14,MainPack
2021-04-05,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,733.0,6475.0,7208.0,98.57,14,14,MainPack
2021-04-06,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,1703.0,12799.0,14502.0,100.0,14,14,MainPack
2021-04-06,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,1944.0,22620.0,24564.0,100.0,14,14,MainPack
2021-04-06,00200166,KAIRUA - Telemetry Site 120 - (WIM Site),04 - Bay of Plenty,4475.0,34896.0,39371.0,100.0,14,14,MainPack
2021-04-06,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,1320.5,7620.5,8941.0,100.0,14,14,MainPack
2021-04-06,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,1109.0,11292.0,12401.0,100.0,14,14,MainPack
2021-04-06,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2246.5,22427.5,24674.0,100.0,14,14,MainPack
2021-04-06,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,928.5,5431.5,6360.0,93.38,14,14,MainPack
2021-04-06,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2093.5,22544.5,24638.0,100.0,14,14,MainPack
2021-04-06,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,1058.0,5754.0,6812.0,100.0,14,14,MainPack
2021-04-07,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,1570.0,11711.0,13281.0,100.0,14,14,MainPack
2021-04-07,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,2010.0,21422.0,23432.0,100.0,14,14,MainPack
2021-04-07,00200166,KAIRUA - Telemetry Site 120 - (WIM Site),04 - Bay of Plenty,4390.0,35420.0,39810.0,100.0,14,14,MainPack
2021-04-07,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,1221.0,6545.0,7766.0,100.0,14,14,MainPack
2021-04-07,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,1144.5,11816.5,12961.0,100.0,14,14,MainPack
2021-04-07,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2325.0,22784.0,25109.0,100.0,14,14,MainPack
2021-04-07,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,888.0,5133.0,6021.0,88.6,14,14,MainPack
2021-04-07,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2228.5,22585.5,24814.0,100.0,14,14,MainPack
2021-04-07,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,1003.5,5162.5,6166.0,92.88,14,14,MainPack
2021-04-08,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,1937.0,12358.0,14295.0,100.0,14,14,MainPack
2021-04-08,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,2063.0,22222.0,24285.0,100.0,14,14,MainPack
2021-04-08,00200166,KAIRUA - Telemetry Site 120 - (WIM Site),04 - Bay of Plenty,4635.0,35858.0,40493.0,100.0,14,14,MainPack
2021-04-08,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,1266.5,6855.5,8122.0,100.0,14,14,MainPack
2021-04-08,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,1216.5,12341.5,13558.0,100.0,14,14,MainPack
2021-04-08,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2344.5,23273.5,25618.0,100.0,14,14,MainPack
2021-04-08,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,858.5,5219.5,6078.0,88.58,14,14,MainPack
2021-04-08,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2214.5,22961.5,25176.0,100.0,14,14,MainPack
2021-04-08,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,988.5,5494.5,6483.0,96.14,14,14,MainPack
2021-04-09,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,1739.5,13065.5,14805.0,100.0,14,14,MainPack
2021-04-09,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,2012.0,22871.0,24883.0,100.0,14,14,MainPack
2021-04-09,00200166,KAIRUA - Telemetry Site 120 - (WIM Site),04 - Bay of Plenty,4446.0,36300.0,40746.0,100.0,14,14,MainPack
2021-04-09,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,1192.5,11977.5,13170.0,100.0,14,14,MainPack
2021-04-09,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2367.0,23590.0,25957.0,100.0,14,14,MainPack
2021-04-09,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,957.5,5461.5,6419.0,94.7,14,14,MainPack
2021-04-09,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2276.0,22936.0,25212.0,100.0,14,14,MainPack
2021-04-09,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,1078.5,5316.5,6395.0,97.18,14,14,MainPack
2021-04-10,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,797.0,9758.0,10555.0,100.0,14,14,MainPack
2021-04-10,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,830.0,17108.0,17938.0,100.0,14,14,MainPack
2021-04-10,00200166,KAIRUA - Telemetry Site 120 - (WIM Site),04 - Bay of Plenty,1573.0,27811.0,29384.0,100.0,14,14,MainPack
2021-04-10,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,481.0,8364.0,8845.0,100.0,14,14,MainPack
2021-04-10,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,990.5,16017.5,17008.0,100.0,14,14,MainPack
2021-04-10,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,389.0,4238.0,4627.0,61.42,14,14,MainPack
2021-04-10,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,965.0,16140.0,17105.0,100.0,14,14,MainPack
2021-04-10,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,455.0,4061.0,4516.0,61.66,14,14,MainPack
2021-04-11,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,697.5,9420.5,10118.0,100.0,14,14,MainPack
2021-04-11,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,608.0,16077.0,16685.0,100.0,14,14,MainPack
2021-04-11,00200166,KAIRUA - Telemetry Site 120 - (WIM Site),04 - Bay of Plenty,1119.0,25085.0,26204.0,100.0,14,14,MainPack
2021-04-11,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,346.5,7149.5,7496.0,93.06,14,14,MainPack
2021-04-11,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,454.0,13710.0,14164.0,100.0,14,14,MainPack
2021-04-11,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,257.0,3825.0,4082.0,52.23,14,14,MainPack
2021-04-11,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,461.0,14286.0,14747.0,100.0,14,14,MainPack
2021-04-11,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,339.5,4078.5,4418.0,57.92,14,14,MainPack
2021-04-12,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,1540.0,10529.0,12069.0,100.0,15,15,MainPack
2021-04-12,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,1787.5,19588.5,21376.0,100.0,15,15,MainPack
2021-04-12,00200166,KAIRUA - Telemetry Site 120 - (WIM Site),04 - Bay of Plenty,4015.0,32808.0,36823.0,100.0,15,15,MainPack
2021-04-12,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,825.5,9976.5,10802.0,100.0,15,15,MainPack
2021-04-12,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2208.0,21269.0,23477.0,100.0,15,15,MainPack
2021-04-12,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,849.0,4565.0,5414.0,80.82,15,15,MainPack
2021-04-12,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2199.5,21014.5,23214.0,100.0,15,15,MainPack
2021-04-12,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,853.5,4436.5,5290.0,79.51,15,15,MainPack
2021-04-13,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,1850.0,11599.0,13449.0,100.0,15,15,MainPack
2021-04-13,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,2064.5,21579.5,23644.0,100.0,15,15,MainPack
2021-04-13,00200166,KAIRUA - Telemetry Site 120 - (WIM Site),04 - Bay of Plenty,4531.0,35199.0,39730.0,100.0,15,15,MainPack
2021-04-13,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,891.0,11427.0,12318.0,100.0,15,15,MainPack
2021-04-13,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2338.0,22850.0,25188.0,100.0,15,15,MainPack
2021-04-13,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,917.0,5018.0,5935.0,88.28,15,15,MainPack
2021-04-13,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2205.0,22380.0,24585.0,100.0,15,15,MainPack
2021-04-13,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,963.5,4891.5,5855.0,88.43,15,15,MainPack
2021-04-14,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,1626.0,11675.0,13301.0,100.0,15,15,MainPack
2021-04-14,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,1876.0,21330.0,23206.0,100.0,15,15,MainPack
2021-04-14,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,1001.0,11946.0,12947.0,100.0,15,15,MainPack
2021-04-14,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2299.5,22967.5,25267.0,100.0,15,15,MainPack
2021-04-14,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,881.0,5243.0,6124.0,89.61,15,15,MainPack
2021-04-14,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2180.5,22624.5,24805.0,100.0,15,15,MainPack
2021-04-14,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,952.5,5170.5,6123.0,91.23,15,15,MainPack
2021-04-15,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,2000.0,22469.0,24469.0,100.0,15,15,MainPack
2021-04-15,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,1292.0,6993.0,8285.0,100.0,15,15,MainPack
2021-04-15,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,1166.5,12131.5,13298.0,100.0,15,15,MainPack
2021-04-15,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2356.5,23343.5,25700.0,100.0,15,15,MainPack
2021-04-15,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,974.0,5736.0,6710.0,98.39,15,15,MainPack
2021-04-15,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2307.5,22899.5,25207.0,100.0,15,15,MainPack
2021-04-15,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,1066.0,5878.0,6944.0,100.0,15,15,MainPack
2021-04-16,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,2013.0,22913.0,24926.0,100.0,15,15,MainPack
2021-04-16,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,1233.5,7373.5,8607.0,100.0,15,15,MainPack
2021-04-16,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,1194.5,12351.5,13546.0,100.0,15,15,MainPack
2021-04-16,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2330.5,23627.5,25958.0,100.0,15,15,MainPack
2021-04-16,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,940.0,6055.0,6995.0,100.0,15,15,MainPack
2021-04-16,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2190.5,23092.5,25283.0,100.0,15,15,MainPack
2021-04-16,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,1010.5,5699.5,6710.0,99.22,15,15,MainPack
2021-04-17,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,998.0,11245.0,12243.0,100.0,15,15,MainPack
2021-04-17,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,1058.0,19294.0,20352.0,100.0,15,15,MainPack
2021-04-17,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,698.5,6132.5,6831.0,93.5,15,15,MainPack
2021-04-17,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,662.5,9266.5,9929.0,100.0,15,15,MainPack
2021-04-17,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,846.5,17224.5,18071.0,100.0,15,15,MainPack
2021-04-17,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,438.5,5132.5,5571.0,73.27,15,15,MainPack
2021-04-17,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,792.5,17125.5,17918.0,100.0,15,15,MainPack
2021-04-17,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,451.5,4822.5,5274.0,70.19,15,15,MainPack
2021-04-18,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,803.5,11090.5,11894.0,100.0,15,15,MainPack
2021-04-18,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,798.5,17772.5,18571.0,100.0,15,15,MainPack
2021-04-18,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,631.0,7005.0,7636.0,100.0,15,15,MainPack
2021-04-18,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,473.5,8105.5,8579.0,100.0,15,15,MainPack
2021-04-18,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,579.0,14121.0,14700.0,100.0,15,15,MainPack
2021-04-18,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,359.5,4964.5,5324.0,68.67,15,15,MainPack
2021-04-18,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,641.0,14545.0,15186.0,100.0,15,15,MainPack
2021-04-18,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,399.5,5156.5,5556.0,72.22,15,15,MainPack
2021-04-19,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,1794.0,11884.0,13678.0,100.0,16,16,MainPack
2021-04-19,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,2005.0,20912.0,22917.0,100.0,16,16,MainPack
2021-04-19,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,1205.5,6496.5,7702.0,100.0,16,16,MainPack
2021-04-19,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,960.5,10565.5,11526.0,100.0,16,16,MainPack
2021-04-19,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2288.5,21032.5,23321.0,100.0,16,16,MainPack
2021-04-19,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,991.5,5266.5,6258.0,93.65,16,16,MainPack
2021-04-19,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2202.0,20228.0,22430.0,100.0,16,16,MainPack
2021-04-19,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,1005.5,4945.5,5951.0,90.48,16,16,MainPack
2021-04-20,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,1620.5,11950.5,13571.0,100.0,16,16,MainPack
2021-04-20,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,1885.5,21212.5,23098.0,100.0,16,16,MainPack
2021-04-20,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,1295.5,6639.5,7935.0,100.0,16,16,MainPack
2021-04-20,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,944.5,10848.5,11793.0,100.0,16,16,MainPack
2021-04-20,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2301.5,22079.5,24381.0,100.0,16,16,MainPack
2021-04-20,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,946.5,5215.5,6162.0,91.53,16,16,MainPack
2021-04-20,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2172.5,21899.5,24072.0,100.0,16,16,MainPack
2021-04-20,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,1039.5,5122.5,6162.0,93.65,16,16,MainPack
2021-04-21,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,1680.5,11922.5,13603.0,100.0,16,16,MainPack
2021-04-21,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,1850.0,21685.0,23535.0,100.0,16,16,MainPack
2021-04-21,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,1037.0,6469.0,7506.0,100.0,16,16,MainPack
2021-04-21,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,909.5,11409.5,12319.0,100.0,16,16,MainPack
2021-04-21,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2220.5,22876.5,25097.0,100.0,16,16,MainPack
2021-04-21,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,862.0,5821.0,6683.0,95.53,16,16,MainPack
2021-04-21,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2124.0,22704.0,24828.0,100.0,16,16,MainPack
2021-04-21,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,889.5,5084.5,5974.0,88.1,16,16,MainPack
